"drink_id","beverage","calories","fat_tot","carbohydrates_tot","sugar","proteins"
1,"Brewed Coffee (Short)",3,0.1,5,0,0.3
2,"Brewed Coffee (Tall)",4,0.1,10,0,0.5
3,"Brewed Coffee (Grande)",5,0.1,10,0,1
4,"Brewed Coffee (Venti)",5,0.1,10,0,1
5,"Caffè Latte (Short Nonfat Milk)",70,0.1,75,9,6
6,"Caffè Latte (2% Milk)",100,3.5,85,9,6
7,"Caffè Latte (Soymilk)",70,2.5,65,4,5
8,"Caffè Latte (Tall Nonfat Milk)",100,0.2,120,14,10
9,"Caffè Latte (2% Milk)",150,6,135,14,10
10,"Caffè Latte (Soymilk)",110,4.5,105,6,8
11,"Caffè Latte (Grande Nonfat Milk)",130,0.3,150,18,13
12,"Caffè Latte (2% Milk)",190,7,170,17,12
13,"Caffè Latte (Soymilk)",150,5,130,8,10
14,"Caffè Latte (Venti Nonfat Milk)",170,0.4,190,23,16
15,"Caffè Latte (2% Milk)",240,9,220,22,16
16,"Caffè Latte (Soymilk)",190,7,170,11,13
17,"Caffè Mocha (Without Whipped Cream) (Short Nonfat Milk)",110,1.5,60,17,7
18,"Caffè Mocha (Without Whipped Cream) (2% Milk)",130,4,70,17,6
19,"Caffè Mocha (Without Whipped Cream) (Soymilk)",110,3.5,55,13,6
20,"Caffè Mocha (Without Whipped Cream) (Tall Nonfat Milk)",170,2,100,27,10
21,"Caffè Mocha (Without Whipped Cream) (2% Milk)",200,6,115,26,10
22,"Caffè Mocha (Without Whipped Cream) (Soymilk)",180,5,85,20,9
23,"Caffè Mocha (Without Whipped Cream) (Grande Nonfat Milk)",220,2.5,125,34,13
24,"Caffè Mocha (Without Whipped Cream) (2% Milk)",260,8,140,34,13
25,"Caffè Mocha (Without Whipped Cream) (Soymilk)",230,7,105,26,11
26,"Caffè Mocha (Without Whipped Cream) (Venti Nonfat Milk)",280,3,160,44,17
27,"Caffè Mocha (Without Whipped Cream) (2% Milk)",340,11,180,43,17
28,"Caffè Mocha (Without Whipped Cream) (Soymilk)",290,9,140,33,14
29,"Vanilla Latte (Or Other Flavoured Latte) (Short Nonfat Milk)",100,0.1,70,18,6
